subjectId,الاسم في الملف (خطأ),وحدات,دروس,المادة (مقترحة),ثقة,الصف — املأه,عينة وحدات
4637,مجال الرسم,8,23,التربية الفنية,8,,مجال الرسم | مجال الزخرفة | مجال الرسم1 | مجال الطباعة | مجال التشكيل المسطح والمجسم
176,مجال الرسم والتلوين,9,20,التربية الفنية,7,,مجال الرسم والتلوين | مجال الزخرفة1 | مجال أشغال المعادن | مجال أشغال الخشب | مجال النسيج
4295,مجال الرسم,9,20,التربية الفنية,7,,مجال الرسم | مجال الزخرفة | مجال الطباعة | مجال الرسم والتلوين | مجال الزخرفة1
3643,الفن الحديث والمدارس الفنية,11,16,التربية الفنية,6,,الفن الحديث والمدارس الفنية | علم المنظور والألوان وتأثيرها النفسي والنسبة الذهبية | إنتاج اللوحات الفنية | الفن وضرورته للإنسان | الطباعة اليدوية
1074,أمن المعلومات والبيانات والإنترنت,7,52,الحاسب والتقنية,17,,أمن المعلومات والبيانات والإنترنت | الشبكات السلكية واللاسلكية والإنترنت | الخدمات الإلكترونية | مهن وتخصصات الحاسب | عمارة الحاسب
4446,مهارة البحث العلمي,7,34,الحاسب والتقنية,10,,مهارة البحث العلمي | مهارة تنظيم أوعية المعلومات | تقنية المعلومات | مصادر المعلومات | مهارات التعرف على المعلومات
1066,تقنيات التحكم الرقمي والروبوت,7,59,الحاسب والتقنية,9,,تقنيات التحكم الرقمي والروبوت | البرمجة بلغة (فيجول بيسك ستوديو) | الوسائط المتعددة | المصادر الحرة | تصميم وإدارة المواقع والشبكات الاجتماعية
1375,البيئة والدوائر الرقمية,6,43,الحاسب والتقنية,8,,البيئة والدوائر الرقمية | التصميم بالحاسب | قواعد المعلومات والموسوعات والمكتبات الرقمية | الحوسبة السحابية وتطبيقاتها | مشروعات ودراسات حاسوبية
3972,أتعلم من التقنية (توظيف التقنية للتعلم والتعليم),2,10,الحاسب والتقنية,3,,أتعلم من التقنية (توظيف التقنية للتعلم والتعليم) | (الروبوت صديقي) الأجهزة الذكية والروبوت
1489,سورة الفاتحة,12,41,الدراسات الإسلامية,43,,سورة الفاتحة | مدخل التفسير | سورة الإسراء | سورة الأنفال | سورة النحل
3007,دراسات إسلامية - فقه,6,119,الدراسات الإسلامية,30,,دراسات إسلامية - فقه | دراسات إسلامية - حديث | دراسات إسلامية - تفسير | دراسات إسلامية - توحيد | القرآن الكريم
1301,الوحدة الأولى,10,44,الدراسات الإسلامية,27,,الوحدة الأولى | الوحدة الثانية | الوحدة الثالثة | الوحدة الرابعة | الوحدة الخامسة
1521,مصطلح الحديث,3,35,الدراسات الإسلامية,26,,مصطلح الحديث | الأحاديث | نماذج تطبيقية
3006,دراسات إسلامية - فقه,6,129,الدراسات الإسلامية,22,,دراسات إسلامية - فقه | دراسات إسلامية - حديث | دراسات إسلامية - تفسير | دراسات إسلامية - توحيد | القرآن الكريم
606,نماذج تطبيقية,3,29,الدراسات الإسلامية,19,,نماذج تطبيقية | الأحاديث | السنة النبوية
3002,دراسات إسلامية - توحيد,4,90,الدراسات الإسلامية,13,,دراسات إسلامية - توحيد | دراسات إسلامية - الفقه والسلوك | القرآن الكريم | القرآن الكريم (التحفيظ)
